sequence,seq_type,method,pair,baseline_idx,ratio,num_matches,num_correct,num_ground_truth
i_bologna,illumination,sift,1_3,3,0.65,69,65,180
i_bologna,illumination,sift,1_3,3,0.7,77,72,180
i_bologna,illumination,sift,1_3,3,0.75,82,76,180
i_bologna,illumination,sift,1_3,3,0.8,96,80,180
i_bologna,illumination,sift,1_3,3,0.85,110,85,180
i_bologna,illumination,sift,1_3,3,0.9,134,89,180
i_bologna,illumination,sift,1_3,3,0.95,172,94,180
i_bologna,illumination,sift,1_3,3,0.99,237,100,180
i_bologna,illumination,sift,1_4,4,0.5,40,39,173
i_bologna,illumination,sift,1_4,4,0.55,44,43,173
i_bologna,illumination,sift,1_4,4,0.6,55,53,173
i_bologna,illumination,sift,1_4,4,0.65,65,63,173
i_bologna,illumination,sift,1_4,4,0.7,73,71,173
i_bologna,illumination,sift,1_4,4,0.75,82,78,173
i_bologna,illumination,sift,1_4,4,0.8,94,84,173
i_bologna,illumination,sift,1_4,4,0.85,115,90,173
i_bologna,illumination,sift,1_4,4,0.9,140,92,173
i_bologna,illumination,sift,1_4,4,0.95,184,99,173
i_bologna,illumination,sift,1_4,4,0.99,244,104,173
i_bologna,illumination,sift,1_5,5,0.5,30,29,176
i_bologna,illumination,sift,1_5,5,0.55,39,38,176
i_bologna,illumination,sift,1_5,5,0.6,46,45,176
i_bologna,illumination,sift,1_5,5,0.65,52,48,176
i_bologna,illumination,sift,1_5,5,0.7,64,59,176
i_bologna,illumination,sift,1_5,5,0.75,71,64,176
i_bologna,illumination,sift,1_5,5,0.8,87,74,176
i_bologna,illumination,sift,1_5,5,0.85,96,78,176
i_bologna,illumination,sift,1_5,5,0.9,119,82,176
i_bologna,illumination,sift,1_5,5,0.95,163,88,176
i_bologna,illumination,sift,1_5,5,0.99,248,95,176
i_bologna,illumination,sift,1_6,6,0.5,15,15,163
i_bologna,illumination,sift,1_6,6,0.55,21,21,163
i_bologna,illumination,sift,1_6,6,0.6,27,26,163
i_bologna,illumination,sift,1_6,6,0.65,32,31,163
i_bologna,illumination,sift,1_6,6,0.7,39,38,163
i_bologna,illumination,sift,1_6,6,0.75,47,44,163
i_bologna,illumination,sift,1_6,6,0.8,60,56,163
i_bologna,illumination,sift,1_6,6,0.85,72,59,163
i_bologna,illumination,sift,1_6,6,0.9,104,66,163
i_bologna,illumination,sift,1_6,6,0.95,158,72,163
i_bologna,illumination,sift,1_6,6,0.99,230,79,163
i_bologna,illumination,orb,1_2,2,0.5,32,32,777
i_bologna,illumination,orb,1_2,2,0.55,62,61,777
i_bologna,illumination,orb,1_2,2,0.6,79,77,777
i_bologna,illumination,orb,1_2,2,0.65,115,112,777
i_bologna,illumination,orb,1_2,2,0.7,153,146,777
i_bologna,illumination,orb,1_2,2,0.75,201,185,777
