sequence,seq_type,method,pair,baseline_idx,num_kp1,num_kp2,num_matches,time_sec,correct_at_1px,num_ground_truth_at_1px,precision_at_1px,recall_at_1px,correct_at_2px,num_ground_truth_at_2px,precision_at_2px,recall_at_2px,correct_at_3px,num_ground_truth_at_3px,precision_at_3px,recall_at_3px,correct_at_5px,num_ground_truth_at_5px,precision_at_5px,recall_at_5px,correct_at_10px,num_ground_truth_at_10px,precision_at_10px,recall_at_10px
i_zion,illumination,sift,1_4,4,3927,4603,123,1.062746524810791,56,513,0.45528455284552843,0.10916179337231968,106,1171,0.8617886178861789,0.09052092228864218,115,1602,0.9349593495934959,0.07178526841448189,118,2282,0.959349593495935,0.051709027169149865,119,3155,0.967479674796748,0.03771790808240887
i_zion,illumination,sift,1_5,5,3927,3421,40,1.062746524810791,18,281,0.45,0.06405693950177936,31,732,0.775,0.04234972677595628,31,1074,0.775,0.028864059590316574,31,1760,0.775,0.017613636363636363,31,2540,0.775,0.012204724409448819
i_zion,illumination,sift,1_6,6,3927,1251,18,1.062746524810791,3,115,0.16666666666666666,0.02608695652173913,8,301,0.4444444444444444,0.026578073089700997,9,458,0.5,0.019650655021834062,9,792,0.5,0.011363636363636364,9,1244,0.5,0.007234726688102894
i_zion,illumination,orb,1_2,2,2000,2000,581,0.3058896541595459,357,1038,0.6144578313253012,0.3439306358381503,493,1423,0.8485370051635112,0.34645115952213634,555,1575,0.955249569707401,0.3523809523809524,571,1726,0.9827882960413081,0.3308227114716107,576,1869,0.9913941480206541,0.30818619582664525
i_zion,illumination,orb,1_3,3,2000,2000,150,0.3058896541595459,53,539,0.35333333333333333,0.09833024118738404,99,916,0.66,0.10807860262008734,129,1127,0.86,0.11446317657497782,136,1371,0.9066666666666666,0.09919766593727207,141,1650,0.94,0.08545454545454545
i_zion,illumination,orb,1_4,4,2000,2000,72,0.3058896541595459,16,494,0.2222222222222222,0.032388663967611336,44,861,0.6111111111111112,0.05110336817653891,63,1097,0.875,0.05742935278030994,66,1334,0.9166666666666666,0.049475262368815595,67,1617,0.9305555555555556,0.04143475572047001
i_zion,illumination,orb,1_5,5,2000,2000,34,0.3058896541595459,5,387,0.14705882352941177,0.012919896640826873,15,703,0.4411764705882353,0.021337126600284494,19,941,0.5588235294117647,0.020191285866099893,20,1203,0.5882352941176471,0.01662510390689942,22,1477,0.6470588235294118,0.014895057549085985
i_zion,illumination,orb,1_6,6,2000,1961,8,0.3058896541595459,1,270,0.125,0.003703703703703704,3,494,0.375,0.006072874493927126,3,687,0.375,0.004366812227074236,3,940,0.375,0.0031914893617021275,3,1248,0.375,0.002403846153846154
v_abstract,viewpoint,sift,1_2,2,4021,3649,1531,0.9525662899017334,987,1389,0.6446766819072501,0.7105831533477321,1305,1947,0.8523840627041149,0.6702619414483821,1346,2216,0.8791639451338994,0.6074007220216606,1364,2816,0.8909209666884389,0.484375,1366,3413,0.8922273024167211,0.400234397890419
v_abstract,viewpoint,sift,1_3,3,4021,4145,1314,0.9525662899017334,677,1118,0.515220700152207,0.6055456171735242,1010,1840,0.7686453576864536,0.5489130434782609,1108,2222,0.8432267884322678,0.49864986498649866,1124,2789,0.8554033485540334,0.4030118321979204,1140,3480,0.867579908675799,0.3275862068965517
v_abstract,viewpoint,sift,1_4,4,4021,4076,437,0.9525662899017334,82,336,0.18764302059496568,0.24404761904761904,177,890,0.40503432494279173,0.19887640449438201,236,1409,0.540045766590389,0.16749467707594037,301,2178,0.6887871853546911,0.1382001836547291,311,3002,0.7116704805491991,0.10359760159893404
v_abstract,viewpoint,sift,1_5,5,4021,3561,995,0.9525662899017334,301,592,0.30251256281407035,0.5084459459459459,559,1258,0.5618090452261306,0.44435612082670906,707,1750,0.7105527638190955,0.404,795,2413,0.7989949748743719,0.3294653957728968,812,3238,0.8160804020100503,0.25077208153180974
v_abstract,viewpoint,sift,1_6,6,4021,3246,421,0.9525662899017334,67,326,0.15914489311163896,0.20552147239263804,118,833,0.28028503562945367,0.14165666266506602,190,1342,0.4513064133016627,0.14157973174366617,250,2108,0.5938242280285035,0.11859582542694497,312,2934,0.7410926365795725,0.10633946830265849
v_abstract,viewpoint,orb,1_2,2,2000,2000,714,0.3111687183380127,324,1056,0.453781512605042,0.3068181818181818,566,1520,0.7927170868347339,0.37236842105263157,650,1659,0.9103641456582633,0.39180229053646776,693,1745,0.9705882352941176,0.397134670487106,702,1819,0.9831932773109243,0.38592633315008246
v_abstract,viewpoint,orb,1_3,3,2000,2000,662,0.3111687183380127,249,970,0.37613293051359514,0.256701030927835,508,1481,0.7673716012084593,0.34301147873058746,600,1633,0.9063444108761329,0.3674219228413962,644,1741,0.972809667673716,0.36990235496840895,649,1827,0.9803625377643505,0.3552271483305966
v_abstract,viewpoint,orb,1_4,4,2000,2000,260,0.3111687183380127,44,551,0.16923076923076924,0.07985480943738657,133,1044,0.5115384615384615,0.12739463601532566,186,1320,0.7153846153846154,0.1409090909090909,231,1511,0.8884615384615384,0.1528788881535407,248,1651,0.9538461538461539,0.15021199273167776
v_abstract,viewpoint,orb,1_5,5,2000,2000,300,0.3111687183380127,64,619,0.21333333333333335,0.10339256865912763,156,1099,0.52,0.14194722474977253,208,1276,0.6933333333333334,0.16300940438871472,275,1458,0.9166666666666666,0.1886145404663923,291,1574,0.97,0.1848792884371029
v_abstract,viewpoint,orb,1_6,6,2000,2000,111,0.3111687183380127,3,411,0.02702702702702703,0.0072992700729927005,16,866,0.14414414414414414,0.018475750577367205,30,1134,0.2702702702702703,0.026455026455026454,47,1351,0.42342342342342343,0.03478904515173945,93,1537,0.8378378378378378,0.0605074821080026
